jobid 7650550
job_state COMPLETED
job_exit 0:0
job_elapsed 00:02:19
job_nodelist qhcn290
job_batch_maxrss 1004776K
input_product /home/jiaoy_group/jiaoy/data/MAGE1.25/kaiju_sami3_voltron_moments_20260523/analysis/sami3_voltron_raiju_diag_stubpayload_nfluid1_ds_over_B_voltron_tubeshell_l_mlt_lon0_forced_extrap_j000_i000_20260524.h5
input_weight /home/jiaoy_group/jiaoy/data/MAGE1.25/kaiju_sami3_voltron_moments_20260523/analysis/sami3_to_raiju_weights_voltron_tubeshell_l_mlt_lon0_forced_extrap_j000_i000_20260524.h5
runtime_group /RaiCplMomentsOnly
runtime_mask_policy coverage_closed_no_extrap_forced_j0_i0
alphaDavg 0.05
alphaPavg 0.05
alphaPstd 0.0
alphaDstd 0.0
alphaTiote 1.0
slurm_run_complete True
forced_ingest_line_present True
forced_valid_count_line_present True
weight_extrapolation_flag_count 1
weight_forced_cell_extrapolation_flag 1
runtime_valid_mask_count 8459
runtime_invalid_mask_count 1
runtime_forced_cell_valid 0
runtime_extrapolation_flag_count 1
Pavg_forced_policy_formula_max_abs 5.587935444223424e-10
Pavg_channel0_mask_true_count 8459
Pavg_channel1_mask_true_count 0
Pavg_forced_cell_mask 0.0
Pavg_forced_cell_actual_minus_base 0.0
Pavg_valid_neighbor_actual_minus_base -5.666370116850562e-05
Davg_forced_policy_formula_max_abs 3.662109372726263e-05
Davg_channel0_mask_true_count 8459
Davg_channel1_mask_true_count 0
Davg_forced_cell_mask 0.0
Davg_forced_cell_actual_minus_base 0.0
Davg_valid_neighbor_actual_minus_base 0.08444136376925193
Pstd_forced_policy_formula_max_abs 0.0
Pstd_channel0_mask_true_count 8459
Pstd_channel1_mask_true_count 0
Pstd_forced_cell_mask 0.0
Pstd_forced_cell_actual_minus_base 0.0
Pstd_valid_neighbor_actual_minus_base 0.0
Dstd_forced_policy_formula_max_abs 0.0
Dstd_channel0_mask_true_count 8459
Dstd_channel1_mask_true_count 0
Dstd_forced_cell_mask 0.0
Dstd_forced_cell_actual_minus_base 0.0
Dstd_valid_neighbor_actual_minus_base 0.0
tiote_mask_true_count 8459
tiote_forced_cell_mask 0.0
State/Pavg_in_forced_cell_ch0_actual_minus_base 0.0
State/Pavg_in_max_abs 0.011298136413097383
State/Pavg_in_mean_abs 0.001043822529150511
State/Davg_in_forced_cell_ch0_actual_minus_base 0.0
State/Davg_in_max_abs 817.850244140625
State/Davg_in_mean_abs 86.21476567411435
State/Density_forced_cell_ch0_actual_minus_base 0.0
State/Density_max_abs 0.6470478858327899
State/Density_mean_abs 0.06418033143572646
State/Pressure_forced_cell_ch0_actual_minus_base 0.0
State/Pressure_max_abs 0.0013832529208793465
State/Pressure_mean_abs 0.00017203304354966218
State/eta_forced_cell_ch0_actual_minus_base 0.0
State/eta_max_abs 89147087.11813514
State/eta_mean_abs 240123.65430572446
nonfinite_physics_forced_raiCpl_res []
nonfinite_physics_forced_raiju_res []
