jobid 7649439
job_state COMPLETED
job_exit 0:0
input_product /home/jiaoy_group/jiaoy/data/MAGE1.25/kaiju_sami3_voltron_moments_20260523/analysis/sami3_voltron_raiju_diag_stubpayload_nfluid1_ds_over_B_voltron_shell_l_mlt_20260524.h5
runtime_group /RaiCplMomentsOnly
alphaDavg 0.05
alphaPavg 0.05
alphaPstd 0.0
alphaDstd 0.0
alphaTiote 1.0
base_log_fin True
volshell_log_fin True
volshell_ingest_line_present True
Pavg_formula_max_abs 0.0
Pavg_formula_max_rel 0.0
Pavg_actual_mean 0.00160120762428816
Pavg_actual_max 0.012184295058250428
Davg_formula_max_abs 0.0
Davg_formula_max_rel 0.0
Davg_actual_mean 99.32539397641388
Davg_actual_max 872.230859375
Pstd_formula_max_abs 0.0
Pstd_formula_max_rel 0.0
Pstd_actual_mean 0.0001685590862329495
Pstd_actual_max 0.002409403797901249
Dstd_formula_max_abs 0.0
Dstd_formula_max_rel 0.0
Dstd_actual_mean 0.008178260314749292
Dstd_actual_max 0.09626227232160983
nonfinite_physics_base_raiCpl_res []
nonfinite_physics_volshell_raiCpl_res []
nonfinite_physics_base_raiju_res []
nonfinite_physics_volshell_raiju_res []
nonfinite_physics_base_gam_res []
nonfinite_physics_volshell_gam_res []
nonfinite_physics_volshell_raiju_history []
nonfinite_physics_volshell_gam_history []
State/Pavg_in_max_abs 0.012184295058250428
State/Pavg_in_mean_abs 0.0011874576955885777
State/Davg_in_max_abs 872.230859375
State/Davg_in_mean_abs 99.2710628886692
State/eta_max_abs 658578162.0162892
State/eta_mean_abs 1331480.1362039307
State/Density_max_abs 3.6291416521203286
State/Density_mean_abs 0.19274910437843126
State/Pressure_max_abs 0.003918246350490817
State/Pressure_mean_abs 0.00023430574685410702
GAMERA/Gas0_max_abs 3.5398509874669823
GAMERA/Gas0_mean_abs 0.017140940687061446
